months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,raw_import_id,data_status
30,31,247116,6/2/2012,none,250/500,2000,1153.35,0,430714,MALE,PhD,?,golf,not-in-family,0,0,2/2/2015,Vehicle Theft,?,Trivial Damage,Police,NY,Hillsdale,3590 Best Hwy,9,1,NO,2,1,YES,5760,960,960,3840,Suburu,Impreza,2011,7334,UNPROCESSED_LEGACY_01
342,49,505969,4/7/1998,OH,250/500,500,1722.95,0,472634,MALE,PhD,transport-moving,N/A,not-in-family,63100,-13800,2/28/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,WV,Hillsdale,6149 Best Ridge,3,1,?,2,0,YES,76700,7670,7670,61360,Suburu,Legacy,2006,9147,UNPROCESSED_LEGACY_01
219,39,653864,4/25/2007,IN,250/500,2000,1281.07,7000000,608371,FEMALE,High School,protective-serv,board-games,unmarried,0,0,1/18/2015,Parked Car,?,Trivial Damage,Police,NY,Springfield,4116 Embaracadero Lane,6,1,NO,0,2,NO,5920,740,740,4440,Chevrolet,Malibu,2015,7326,?
468,62,586367,6/30/2000,IL,none,500,1011.92,0,468168,MALE,PhD,machine-op-inspct,paintball,wife,0,0,2/15/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,N/A,Riverwood,N/A,7,3,YES,0,3,?,64350,7150,7150,50050,Chevrolet,Tahoe,2009,9577,UNPROCESSED_LEGACY_01
241,39,896890,6/4/1996,IL,250/500,2000,1042.26,0,464107,MALE,JD,sales,kayaking,husband,0,0,1/31/2015,N/A,Rear Collision,Total Loss,Ambulance,WV,Northbend,5994 5th Ave,21,3,NO,1,2,?,19080,4240,2120,12720,Saab,93,1995,9808,UNPROCESSED_LEGACY_01
223,43,650026,5/9/2009,OH,500/1000,500,1235.1,0,466959,unknown_val,Masters,tech-support,exercise,not-in-family,66400,-34400,2/10/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,?,9138 3rd St,14,1,NO,2,1,NO,54400,5440,5440,43520,BMW,M5,2011,1390,?
128,32,547744,7/8/2001,OH,100/300,2000,768.91,0,443522,FEMALE,College,sales,chess,other-relative,0,-39300,?,Single Vehicle Collision,Rear Collision,Total Loss,Fire,SC,Columbus,3743 Andromedia Ridge,0,1,?,1,0,NO,59800,5980,5980,47840,Ford,?,1999,7847,?
124,29,598124,9/20/1993,OH,500/1000,500,1301.72,0,441726,MALE,Masters,handlers-cleaners,golf,husband,0,0,2/25/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,N/A,?,7644 Tree Ridge,14,3,?,0,3,YES,72000,7200,7200,57600,Audi,A3,2005,2746,UNPROCESSED_LEGACY_01
343,48,436126,11/3/2009,IN,250/500,500,1451.54,3000000,473412,MALE,JD,adm-clerical,hiking,husband,0,0,1/8/2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Riverwood,N/A,13,4,NO,2,3,NO,65070,7230,14460,43380,Mercedes,C300,2003,5906,UNPROCESSED_LEGACY_01
404,53,739447,12/10/2014,IN,250/500,500,767.14,0,466201,MALE,Associate,sales,reading,not-in-family,25500,-36700,1/14/2015,Parked Car,N/A,Trivial Damage,Police,WV,?,3327 Lincoln Drive,8,1,NO,0,1,NO,8800,1760,880,6160,Suburu,Legacy,2002,4739,UNPROCESSED_LEGACY_01
63,24,427484,1/8/1994,OH,250/500,2000,1620.89,0,469621,FEMALE,N/A,?,movies,other-relative,0,0,2/3/2015,Vehicle Theft,?,Minor Damage,Police,NC,Hillsdale,N/A,7,1,NO,2,0,NO,6120,1020,1020,4080,Toyota,Corolla,2015,2946,UNPROCESSED_LEGACY_01
210,37,218684,8/5/2006,none,none,2000,1048.46,0,466676,MALE,High School,priv-house-serv,N/A,not-in-family,59900,0,1/5/2015,Vehicle Theft,?,?,,OH,Columbus,3878 Tree Lane,9,1,?,1,2,?,7080,1180,590,5310,?,RAM,1999,4546,UNPROCESSED_LEGACY_01
335,50,565564,2/7/2007,OH,100/300,1000,1538.26,6000000,615346,MALE,High School,sales,N/A,other-relative,62200,-31400,?,Multi-vehicle Collision,N/A,Minor Damage,Ambulance,NY,Riverwood,9760 Solo Lane,12,3,YES,2,3,YES,34320,8580,4290,21450,Volkswagen,Passat,2009,3710,UNPROCESSED_LEGACY_01
11,40,743163,4/9/2001,OH,500/1000,2000,1217.69,0,440106,FEMALE,MD,prof-specialty,reading,wife,24000,0,1/26/2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Springfield,9138 1st St,6,3,?,1,0,?,53460,9720,9720,34020,?,Neon,2004,4734,UNPROCESSED_LEGACY_01
142,33,604614,2/17/1995,IN,100/300,2000,1362.64,5000000,450332,FEMALE,JD,?,cross-fit,wife,0,0,1/21/2015,Single Vehicle Collision,Side Collision,Total Loss,unknown_val,NC,Columbus,3414 Elm Ave,11,1,YES,1,3,?,81360,6780,13560,61020,Suburu,Legacy,2009,5583,UNPROCESSED_LEGACY_01
272,43,509928,N/A,OH,100/300,1000,1279.13,0,615226,MALE,PhD,?,bungie-jumping,other-relative,0,0,2/6/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Springfield,3172 Tree Ridge,5,3,?,1,2,YES,81070,7370,14740,58960,?,A3,2006,6969,UNPROCESSED_LEGACY_01
69,26,593390,3/24/2006,IL,100/300,2000,924.72,0,437688,FEMALE,High School,machine-op-inspct,N/A,unmarried,0,0,1/7/2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,6104 Oak Ave,14,1,NO,2,2,NO,63120,5260,10520,47340,Audi,A5,2008,3853,UNPROCESSED_LEGACY_01
38,28,970607,3/28/1995,none,250/500,1000,1019.44,0,437387,MALE,Masters,transport-moving,yachting,not-in-family,0,-39700,2/10/2015,N/A,?,Trivial Damage,,NC,Springfield,9742 5th Ridge,17,1,?,2,1,NO,7200,1440,720,5040,BMW,X5,2004,8155,UNPROCESSED_LEGACY_01
328,46,174701,6/19/1996,IL,500/1000,500,1314.6,0,458139,FEMALE,MD,prof-specialty,exercise,not-in-family,24800,0,2/23/2015,Single Vehicle Collision,N/A,Total Loss,Other,WV,Hillsdale,8782 3rd St,0,1,?,2,3,?,70290,12780,6390,51120,Saab,92x,1998,1565,UNPROCESSED_LEGACY_01
281,43,529398,6/16/1993,OH,100/300,1000,1515.18,6000000,443191,MALE,College,priv-house-serv,camping,other-relative,0,0,1/9/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Northbrook,N/A,21,3,NO,1,0,NO,60190,9260,9260,41670,BMW,X6,1999,7057,UNPROCESSED_LEGACY_01
246,44,940942,7/11/2001,OH,250/500,2000,1649.18,0,613647,MALE,College,farming-fishing,base-jumping,other-relative,0,-58600,2/22/2015,Single Vehicle Collision,Front Collision,Major Damage,unknown_val,NY,Hillsdale,5483 Francis Drive,18,1,YES,1,2,YES,61380,11160,5580,44640,Honda,?,2009,7025,UNPROCESSED_LEGACY_01
298,49,442677,11/22/2008,OH,250/500,500,1451.01,0,460820,FEMALE,N/A,?,exercise,own-child,47800,0,2/21/2015,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,2005 Texas Hwy,17,1,NO,2,2,?,28100,2810,5620,19670,Jeep,Grand Cherokee,2012,6443,UNPROCESSED_LEGACY_01
330,50,365364,12/28/2002,IL,500/1000,1000,978.46,0,431121,FEMALE,High School,sales,yachting,husband,0,0,2/4/2015,N/A,N/A,Total Loss,unknown_val,NY,Hillsdale,6634 Texas Ridge,19,1,N/A,0,0,NO,49060,8920,8920,31220,Chevrolet,Silverado,1995,8167,UNPROCESSED_LEGACY_01
362,50,114839,1/1/2006,IL,250/500,500,1198.34,4000000,619735,MALE,Associate,sales,board-games,wife,53000,-72500,1/7/2015,N/A,Side Collision,Total Loss,Fire,N/A,Columbus,8655 Cherokee Lane,17,3,?,1,1,NO,57060,6340,6340,44380,?,E400,1995,4639,UNPROCESSED_LEGACY_01
241,38,872734,5/19/1990,IN,100/300,2000,1003.23,0,470485,FEMALE,Associate,tech-support,kayaking,not-in-family,0,0,1/17/2015,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Arlington,4955 Lincoln Ridge,23,3,?,0,3,YES,77880,12980,12980,51920,Accura,MDX,2008,8645,UNPROCESSED_LEGACY_01
245,41,267885,8/26/2013,IN,500/1000,2000,1212.0,0,620473,MALE,Masters,exec-managerial,basketball,unmarried,24400,-60500,1/28/2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,?,7705 Best Ridge,4,1,N/A,0,1,YES,73500,7350,14700,51450,Jeep,Wrangler,1999,4167,UNPROCESSED_LEGACY_01
371,52,740505,10/12/1997,IL,250/500,1000,1242.96,7000000,449800,FEMALE,N/A,other-service,paintball,own-child,0,-37100,2/22/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Riverwood,5838 Pine Lane,2,2,YES,2,0,?,88920,6840,13680,68400,Accura,RSX,2010,4234,?
343,52,629663,1/21/2002,IL,500/1000,1000,1053.02,0,602402,FEMALE,Associate,?,bungie-jumping,not-in-family,0,0,2/16/2015,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,7331 Sky Hwy,2,1,?,0,2,NO,47630,12990,4330,30310,Toyota,Corolla,2005,6798,UNPROCESSED_LEGACY_01
377,53,839884,9/2/1996,IL,100/300,500,1693.63,0,452456,FEMALE,MD,craft-repair,kayaking,unmarried,0,-64000,?,N/A,Front Collision,Total Loss,Fire,WV,Hillsdale,5640 Embaracadero Lane,10,3,YES,1,3,NO,59040,6560,6560,45920,Saab,93,2015,4443,UNPROCESSED_LEGACY_01
154,37,241562,1/28/2010,IL,250/500,1000,2047.59,0,439269,FEMALE,MD,?,dancing,other-relative,0,-67800,?,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,9610 Cherokee St,2,1,?,0,3,NO,79530,14460,7230,57840,Accura,MDX,2000,8566,UNPROCESSED_LEGACY_01
166,34,405533,10/3/2014,OH,100/300,1000,1083.72,0,617774,FEMALE,High School,?,base-jumping,?,65600,-68200,2/9/2015,Single Vehicle Collision,Side Collision,?,Other,NY,Columbus,3550 Washington Ave,18,1,NO,0,2,YES,53680,4880,4880,43920,Honda,CRV,2005,3592,UNPROCESSED_LEGACY_01
298,46,667021,5/2/2007,OH,500/1000,1000,1138.42,6000000,477678,MALE,JD,prof-specialty,N/A,own-child,36900,-55000,2/16/2015,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Arlington,5277 Texas Lane,18,1,NO,2,3,YES,33550,3050,6100,24400,Volkswagen,Passat,2005,4521,UNPROCESSED_LEGACY_01
235,42,511621,9/22/1990,IN,250/500,500,1072.62,0,444913,FEMALE,Masters,machine-op-inspct,exercise,husband,39900,-60200,2/18/2015,Multi-vehicle Collision,Side Collision,Total Loss,unknown_val,N/A,Springfield,3654 Cherokee Ave,7,4,?,2,1,YES,69100,6910,6910,55280,Toyota,Highlander,2006,2678,UNPROCESSED_LEGACY_01
172,35,476923,9/19/2004,IL,100/300,2000,1219.04,0,456602,MALE,N/A,?,paintball,own-child,63600,-68700,1/11/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Police,OH,Hillsdale,N/A,19,3,?,2,0,NO,79750,14500,14500,50750,Nissan,Pathfinder,1999,9154,UNPROCESSED_LEGACY_01
27,28,735822,N/A,IN,100/300,2000,1371.78,0,451560,MALE,JD,farming-fishing,polo,other-relative,0,-32500,2/4/2015,Multi-vehicle Collision,Front Collision,Major Damage,Other,N/A,?,2539 Embaracadero Ridge,10,3,?,0,2,YES,53600,5360,10720,37520,Audi,A5,2015,9106,?
428,54,492745,2/4/2004,IN,100/300,2000,1506.21,0,453407,MALE,Masters,transport-moving,kayaking,unmarried,0,-24400,1/22/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NY,Riverwood,4693 Lincoln Hwy,16,3,NO,1,0,?,76560,12760,6380,57420,Nissan,Ultima,2009,2562,UNPROCESSED_LEGACY_01
99,32,130930,N/A,IN,100/300,1000,1058.21,3000000,618655,MALE,JD,craft-repair,golf,unmarried,0,0,1/10/2015,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Arlington,2376 Sky Ridge,17,1,YES,1,1,NO,41130,4570,4570,31990,Dodge,RAM,1999,2836,UNPROCESSED_LEGACY_01
107,26,261119,3/21/1997,IL,500/1000,2000,932.14,0,612550,MALE,N/A,sales,cross-fit,?,40600,0,1/10/2015,N/A,Rear Collision,Total Loss,Fire,SC,Columbus,1273 Rock Lane,2,3,NO,2,3,NO,78650,14300,7150,57200,Audi,A3,1996,4436,UNPROCESSED_LEGACY_01
272,41,280709,5/6/1991,OH,500/1000,2000,1608.34,0,466718,FEMALE,Associate,?,reading,own-child,33300,-10600,2/16/2015,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,8281 Lincoln Lane,19,1,?,1,1,?,71060,6460,12920,51680,Saab,92x,2010,9280,?
151,37,898573,8/7/1992,IN,500/1000,1000,1728.56,0,617947,FEMALE,Masters,farming-fishing,dancing,own-child,54000,0,2/8/2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,6429 4th Hwy,0,1,YES,1,1,?,38830,3530,3530,31770,Suburu,Legacy,1999,3688,UNPROCESSED_LEGACY_01
249,43,547802,9/3/2013,IL,250/500,1000,1518.46,0,606238,FEMALE,MD,armed-forces,cross-fit,own-child,0,0,1/26/2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,2201 4th Lane,16,1,?,0,0,?,53500,5350,5350,42800,Saab,92x,2015,7069,UNPROCESSED_LEGACY_01
177,38,600845,1/5/2012,IL,100/300,2000,1540.19,0,463842,FEMALE,College,?,skydiving,other-relative,0,-74500,2/1/2015,Single Vehicle Collision,Front Collision,Major Damage,unknown_val,VA,Columbus,5506 Best St,20,1,YES,2,0,NO,73700,7370,7370,58960,Chevrolet,Silverado,2001,5946,UNPROCESSED_LEGACY_01
190,40,390381,1/27/2007,OH,500/1000,2000,965.21,0,610354,FEMALE,JD,exec-managerial,camping,other-relative,36900,-53700,2/2/2015,N/A,?,Trivial Damage,,SC,Hillsdale,N/A,10,1,?,2,1,YES,6300,630,630,5040,Nissan,Ultima,2001,8618,UNPROCESSED_LEGACY_01
174,36,629918,10/14/2005,none,100/300,2000,1278.75,0,461328,FEMALE,College,tech-support,N/A,own-child,53200,-53800,2/6/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Riverwood,2117 Lincoln Hwy,21,3,?,2,2,NO,65400,10900,10900,43600,Dodge,RAM,2012,1094,UNPROCESSED_LEGACY_01
95,28,208298,11/3/1990,OH,250/500,1000,773.99,0,458727,MALE,Associate,armed-forces,board-games,other-relative,0,-70300,1/1/2015,Vehicle Theft,?,?,,PA,Springfield,6359 MLK Ridge,3,1,YES,1,2,?,3200,640,320,2240,Mercedes,E400,2014,4858,UNPROCESSED_LEGACY_01
371,51,513099,10/15/2005,IN,500/1000,1000,1532.47,0,452587,FEMALE,Associate,?,N/A,other-relative,60300,-24700,1/19/2015,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NY,Arlington,9751 Sky Ridge,7,1,YES,0,3,YES,75400,7540,15080,52780,?,?,2012,4625,UNPROCESSED_LEGACY_01
2,28,184938,5/22/1999,none,250/500,1000,1340.56,0,433184,FEMALE,JD,machine-op-inspct,golf,not-in-family,0,0,1/17/2015,Single Vehicle Collision,Side Collision,?,Fire,NY,Northbend,9020 Elm Ave,19,1,YES,0,2,?,58140,6460,6460,45220,Saab,92x,2008,4192,UNPROCESSED_LEGACY_01
269,44,187775,12/21/2002,OH,100/300,500,1297.75,4000000,451280,FEMALE,JD,other-service,chess,own-child,0,-41400,2/1/2015,Multi-vehicle Collision,Rear Collision,?,Ambulance,SC,Columbus,1830 Sky St,15,3,?,0,1,?,98670,15180,15180,68310,Chevrolet,Tahoe,2010,8302,UNPROCESSED_LEGACY_01
101,27,326322,2/10/2007,IL,250/500,1000,433.33,0,603269,MALE,Masters,machine-op-inspct,golf,other-relative,25900,0,1/2/2015,N/A,?,Minor Damage,,SC,Hillsdale,6067 Weaver Ridge,7,1,?,0,3,NO,5900,1180,590,4130,Mercedes,E400,2009,8952,UNPROCESSED_LEGACY_01
94,30,146138,3/1/2002,IN,250/500,2000,1025.54,0,442632,FEMALE,High School,armed-forces,paintball,other-relative,0,-52600,2/20/2015,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NC,Arlington,1840 Embaracadero Ave,19,1,?,1,3,YES,64100,6410,6410,51280,Chevrolet,Malibu,2001,1646,UNPROCESSED_LEGACY_01
117,28,336047,4/21/2003,OH,250/500,500,1264.77,0,447300,FEMALE,Associate,transport-moving,yachting,unmarried,47500,-32500,2/5/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Springfield,4058 Tree Drive,13,2,YES,0,1,?,55440,5040,10080,40320,Suburu,Forrestor,2009,3512,UNPROCESSED_LEGACY_01
111,27,532330,9/22/2002,OH,250/500,500,1459.97,5000000,441783,MALE,MD,?,yachting,other-relative,0,0,2/27/2015,Multi-vehicle Collision,N/A,Major Damage,Police,SC,Northbend,4983 MLK Ridge,2,3,NO,1,2,NO,80850,7350,14700,58800,Ford,F150,2011,1555,UNPROCESSED_LEGACY_01
242,40,118137,2/10/1998,OH,100/300,500,1238.65,0,468702,FEMALE,High School,transport-moving,bungie-jumping,husband,0,-44600,1/27/2015,Vehicle Theft,N/A,Trivial Damage,Police,WV,Springfield,9744 Texas Drive,5,1,N/A,1,1,NO,7480,680,680,6120,Saab,95,1998,1625,UNPROCESSED_LEGACY_01
440,61,212674,9/1/1992,none,none,500,1050.76,0,467942,MALE,PhD,transport-moving,movies,wife,41500,-70200,1/26/2015,Single Vehicle Collision,Side Collision,Major Damage,Fire,OH,Riverwood,8821 Elm St,21,1,?,2,3,?,53640,5960,5960,41720,Nissan,Maxima,2004,7443,UNPROCESSED_LEGACY_01
20,23,935596,5/1/1999,OH,500/1000,1000,1711.72,0,463678,FEMALE,JD,?,base-jumping,wife,0,0,?,N/A,Rear Collision,Major Damage,Fire,SC,?,2886 Tree Ridge,21,3,NO,2,2,NO,63250,5750,11500,46000,Chevrolet,Tahoe,2002,7279,UNPROCESSED_LEGACY_01
461,57,737593,12/19/1997,IL,none,500,865.33,7000000,615220,FEMALE,High School,farming-fishing,golf,own-child,0,0,1/14/2015,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,5236 Weaver Drive,7,3,NO,0,1,?,59040,9840,9840,39360,Dodge,RAM,1995,1015,UNPROCESSED_LEGACY_01
208,36,812025,6/18/2000,IL,250/500,500,1153.49,0,432711,unknown_val,Associate,craft-repair,base-jumping,other-relative,0,0,2/22/2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,5862 Apache Ridge,16,3,YES,1,0,YES,50500,10100,5050,35350,?,?,2004,6676,UNPROCESSED_LEGACY_01
279,43,168151,4/24/1995,OH,500/1000,2000,1281.25,0,463583,MALE,Associate,?,cross-fit,other-relative,0,0,1/17/2015,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,N/A,13,1,YES,0,1,NO,57690,6410,12820,38460,Mercedes,C300,2010,1859,UNPROCESSED_LEGACY_01
244,40,594739,6/16/2006,none,100/300,500,1342.8,0,439502,FEMALE,MD,sales,base-jumping,husband,0,0,2/2/2015,N/A,?,Trivial Damage,Police,NY,?,6259 Weaver St,2,1,YES,1,3,YES,5940,660,660,4620,Toyota,Camry,2014,7859,UNPROCESSED_LEGACY_01
134,30,843227,9/28/2007,OH,250/500,2000,1443.32,0,613287,FEMALE,PhD,exec-managerial,dancing,unmarried,0,0,1/7/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,?,9980 Lincoln Ave,19,3,?,0,2,YES,47790,5310,5310,37170,Suburu,Impreza,1995,8703,UNPROCESSED_LEGACY_01
122,29,283925,11/21/1991,OH,250/500,1000,1629.94,0,620104,FEMALE,Masters,priv-house-serv,skydiving,?,0,-47100,2/2/2015,Parked Car,?,Trivial Damage,,N/A,Riverwood,7828 Cherokee Ave,17,1,?,0,1,NO,3850,350,350,3150,Dodge,Neon,2014,7563,UNPROCESSED_LEGACY_01
156,31,475588,9/21/1996,IL,100/300,2000,1134.08,0,446895,MALE,PhD,?,reading,husband,0,0,2/7/2015,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Arlington,5812 Oak St,3,1,?,2,0,?,59000,5900,5900,47200,Ford,Fusion,2013,9580,?
232,43,751905,5/16/2001,OH,250/500,500,1483.91,8000000,431531,MALE,College,machine-op-inspct,golf,husband,0,-33600,1/18/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,N/A,Arlington,2318 Washington Hwy,17,3,N/A,0,1,?,70600,7060,14120,49420,Volkswagen,Passat,2013,3243,UNPROCESSED_LEGACY_01
244,40,226725,8/11/1999,IN,500/1000,2000,1304.67,7000000,605408,MALE,Masters,armed-forces,base-jumping,other-relative,0,-45000,1/10/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,8809 Flute St,5,3,?,1,1,?,61490,5590,11180,44720,Dodge,RAM,2001,8915,UNPROCESSED_LEGACY_01
84,30,942504,6/16/2003,IL,500/1000,2000,1035.79,0,457551,FEMALE,N/A,protective-serv,kayaking,wife,44400,-51500,1/30/2015,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,3184 Oak Ave,9,1,NO,1,0,YES,57640,5240,10480,41920,Volkswagen,Passat,2010,5537,UNPROCESSED_LEGACY_01
394,57,395572,3/30/1999,IL,250/500,500,1401.2,0,619892,FEMALE,High School,craft-repair,movies,own-child,51500,0,1/25/2015,N/A,?,Trivial Damage,Police,NC,Hillsdale,N/A,9,1,NO,1,0,NO,6890,1060,1060,4770,Audi,A5,1999,3452,?
246,45,889883,2/3/1999,IL,250/500,1000,1665.45,0,445853,MALE,JD,machine-op-inspct,hiking,wife,34400,-33100,1/29/2015,Multi-vehicle Collision,N/A,Major Damage,Fire,PA,Columbus,N/A,9,3,?,2,2,?,53280,11840,5920,35520,Toyota,Camry,2006,1644,UNPROCESSED_LEGACY_01
35,29,818167,8/25/2011,IN,500/1000,2000,653.66,0,475483,FEMALE,JD,handlers-cleaners,N/A,unmarried,52100,-46900,2/24/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,5455 Tree Ridge,22,3,NO,0,0,?,78300,15660,7830,54810,?,X5,2009,2546,?
156,37,277767,6/28/2010,OH,100/300,500,1080.13,0,606290,MALE,Associate,protective-serv,N/A,other-relative,0,-61000,1/4/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,?,5778 Pine Ridge,15,3,YES,0,3,NO,41490,4610,4610,32270,Nissan,Pathfinder,2001,8569,UNPROCESSED_LEGACY_01
195,36,842618,11/6/2001,IN,100/300,2000,1346.18,0,611852,FEMALE,Associate,?,camping,wife,57800,-53300,?,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Hillsdale,3797 Solo Lane,14,3,YES,2,3,YES,68970,12540,6270,50160,Chevrolet,Tahoe,2007,1839,UNPROCESSED_LEGACY_01
369,55,577810,4/15/2013,OH,250/500,2000,1589.54,0,444734,MALE,College,handlers-cleaners,camping,husband,55400,0,1/27/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,Arlington,9373 Pine Hwy,6,3,N/A,2,0,YES,85300,17060,8530,59710,Toyota,Highlander,2003,6134,UNPROCESSED_LEGACY_01
271,40,873114,12/7/1995,IL,100/300,1000,1251.65,0,433683,FEMALE,Associate,other-service,camping,wife,71200,0,2/19/2015,Parked Car,?,Minor Damage,,NY,Hillsdale,1365 Francis Ave,6,1,NO,0,0,NO,3080,560,280,2240,Audi,?,2012,9467,UNPROCESSED_LEGACY_01
332,47,994538,11/1/1991,IL,100/300,2000,1083.01,0,448882,MALE,MD,craft-repair,paintball,other-relative,91900,0,1/31/2015,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Arlington,9239 Washington Ridge,22,4,YES,2,0,?,71760,11040,11040,49680,?,Grand Cherokee,2010,6091,UNPROCESSED_LEGACY_01
107,26,727792,5/19/2014,OH,100/300,500,974.59,0,466838,FEMALE,JD,armed-forces,skydiving,wife,62800,0,1/18/2015,Multi-vehicle Collision,N/A,Minor Damage,Ambulance,NY,Arlington,3416 Washington Drive,14,3,?,1,0,NO,59700,11940,11940,35820,Nissan,Ultima,2002,7379,UNPROCESSED_LEGACY_01
217,39,522506,3/15/1992,IL,500/1000,2000,1399.85,0,605490,FEMALE,Masters,?,skydiving,other-relative,49900,-19800,1/10/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,?,N/A,16,3,NO,0,2,?,64920,10820,10820,43280,Ford,Fusion,1997,4442,UNPROCESSED_LEGACY_01
243,43,367595,2/3/2006,IN,500/1000,500,1307.74,0,466137,FEMALE,Associate,machine-op-inspct,board-games,own-child,0,-75700,1/28/2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Riverwood,6451 1st Hwy,10,3,?,0,1,NO,37530,4170,4170,29190,?,Wrangler,2008,1853,UNPROCESSED_LEGACY_01
296,42,586104,3/16/2003,IN,250/500,2000,1219.27,0,466970,MALE,Associate,tech-support,paintball,husband,53100,-63400,2/16/2015,Multi-vehicle Collision,Side Collision,?,Ambulance,WV,Columbus,1267 Francis Hwy,9,3,YES,1,2,NO,64080,7120,7120,49840,Saab,93,2012,3719,UNPROCESSED_LEGACY_01
264,41,424862,10/16/2002,OH,100/300,500,1411.3,0,474801,MALE,PhD,prof-specialty,cross-fit,?,55600,0,2/8/2015,N/A,N/A,Minor Damage,Other,PA,Northbrook,4158 Washington Lane,4,1,NO,1,0,?,60390,10980,5490,43920,BMW,M5,2004,3763,?
108,33,512813,1/27/1990,IL,100/300,2000,694.45,0,450703,FEMALE,JD,armed-forces,exercise,not-in-family,0,0,1/20/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,N/A,Northbend,3796 Cherokee Drive,6,3,?,0,1,YES,64350,5850,11700,46800,Nissan,Pathfinder,2011,5287,UNPROCESSED_LEGACY_01
32,38,356768,3/11/2010,IL,100/300,500,1006.77,6000000,478172,FEMALE,College,?,sleeping,own-child,0,0,2/6/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,N/A,15,3,YES,2,1,YES,70900,14180,7090,49630,BMW,X6,1997,2989,UNPROCESSED_LEGACY_01
259,39,330506,9/19/1995,none,250/500,1000,1422.36,0,604668,FEMALE,JD,?,movies,unmarried,0,-83900,1/24/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,PA,Columbus,N/A,12,3,NO,1,3,?,46560,7760,7760,31040,Nissan,Ultima,2012,9501,UNPROCESSED_LEGACY_01
186,33,779075,2/27/2010,IN,100/300,1000,1348.32,0,469429,unknown_val,Associate,craft-repair,cross-fit,wife,37600,-37600,1/14/2015,Vehicle Theft,?,Trivial Damage,Police,N/A,Arlington,8477 Francis Hwy,3,1,NO,2,1,?,4730,860,860,3010,Chevrolet,Malibu,2013,9171,UNPROCESSED_LEGACY_01
